semantic_name|display_name|subject|drive_file_id|placeholders|active|notes
ADM_BOARD_APPROVAL_REQUEST_TO_BOARD|Admin: Board Approval Request|Action Required: {{BOARD_ITEM_TYPE}} Approval Needed|17VL4c9Nq-36VkxMfFFOK753prbBzAaMx|APPLICANT_NAME;APPLICATION_ID;APPROVAL_DEADLINE;BOARD_ITEM_TYPE;REQUEST_SUMMARY|true|Board notification requiring decision on pending item
ADM_BOARD_APPROVED_FOR_RSO_TO_BOARD|Admin: Board Approved for RSO|Board Approved: {{APPLICANT_NAME}} Ready for RSO Processing|1UW1pOG1ozRhutNuhXWhMnyGvRBGCMmXT|APPLICANT_NAME;APPLICATION_ID;APPROVAL_DATE;RSO_NEXT_STEPS|true|Board notified that application has cleared initial review and is moving to RSO stage
ADM_BOARD_FINAL_APPROVAL_TO_BOARD|Admin: Board Final Approval|Membership Activated: {{APPLICANT_NAME}} ({{APPLICATION_ID}})|1Iptg6zLJCmVEkR2I3KIOh9RQjEvcBaH0|ACTIVATION_DATE;APPLICANT_NAME;APPLICATION_ID;APPROVAL_DATE;MEMBERSHIP_TYPE|true|Final board approval notification; member is now active
ADM_BOARD_FINAL_DENIED_TO_BOARD|Admin: Board Final Denial|Application Denied: {{APPLICANT_NAME}} ({{APPLICATION_ID}})|1MNangUS02aCntWaPNTVtJ6J6qIVrsBWz|APPEAL_PROCESS;APPLICANT_NAME;APPLICATION_ID;DENIAL_DATE;DENIAL_REASON|true|Final rejection from board; appeal process communicated
ADM_BOARD_INITIAL_APPROVAL_TO_BOARD|Admin: Board Initial Approval Notification|Application Approved — {{APPLICANT_NAME}} — Moving to RSO Review|1PysIOCG0Gq9BYp6_cDN1EUJj2TYix45m|APPLICANT_NAME;APPLICATION_ID;APPROVED_BY_NAME;APPROVAL_DATE|true|Board notified that initial approval was granted and application is moving to RSO for document verification
ADM_BOARD_INITIAL_DENIED_TO_BOARD|Admin: Board Initial Denial|Application Denied at Initial Review: {{APPLICANT_NAME}}|1Nob7HB7qGiJ1GHtS2FbKmDhPsE50N6p6|APPLICANT_NAME;APPLICATION_ID;DECISION_DATE;DENIAL_REASON|true|Denial before RSO stage; applicant has not yet submitted documents
ADM_DAILY_SUMMARY_TO_RSO_NOTIFY|Admin: RSO Daily Summary|GEA Daily RSO Summary - {{TODAY_DATE}}|1YxF5Mwn4SvwxIMPd6hU0tJfuHrhVw58g|RESERVATIONS_BLOCK;TODAY_DATE;TOTAL_GUESTS;TOTAL_MEMBERS;TOTAL_RESERVATIONS|true|Daily operational report sent to RSO with all events scheduled for today
ADM_DOCS_SENT_TO_BOARD_FOR_REVIEW_TO_BOARD|Admin: Documents Ready for Board Review|Documents Ready for Your Review: {{APPLICANT_NAME}}|1sUuctx48-w18XUjuFg7MQiOscJwhnntE|APPLICANT_NAME;APPLICATION_ID;DOCUMENT_TYPES;SUBMISSION_DATE|true|Board notification that applicant documents are ready for initial board review
ADM_DOCS_SENT_TO_BOARD_FOR_REVIEW_TO_MEMBER|Admin: Documents Received|[GEA] Your Documents Have Been Received|1iIswEHzhGvhpjhr4iDipqs0py_PfBA-m|DOCUMENT_TYPES;FIRST_NAME;SUBMISSION_DATE|true|Receipt confirmation that applicant documents have been received and will be reviewed as soon as possible
ADM_DOCS_SENT_TO_BOARD_FOR_REVIEW_WITH_VERIFICATION_TO_BOARD|Admin: Documents Received - Verification Required|Documents Ready for Review: {{APPLICANT_NAME}} — Verification Document Blocking|1dez2DA8_n44Q-idj2ZZgea2ssiWpoTqW|APPLICANT_NAME;APPLICATION_ID;SUBMISSION_DATE;VERIFICATION_DOCUMENT_TYPE|true|Board notification that documents are received; verification document must be approved before initial review (photos are informational only)
ADM_DOCS_SENT_TO_RSO_TO_BOARD|Admin: Documents Forwarded to RSO|Documents Forwarded to RSO: {{APPLICANT_NAME}}|1v8C_0J-__zWjf959m1f5EJefndLMsIsv|APPLICANT_NAME;APPLICATION_ID;DOCUMENT_TYPES;RSO_CONTACT;SUBMISSION_DATE|true|Board notification that applicant documents have been sent to RSO for review (AFTER board approval)
ADM_DOCS_SENT_TO_RSO_TO_MEMBER|Admin: Documents Forwarded to RSO (Member copy)|GEA: Your Documents Have Been Forwarded for Review|1pk-e-O9rt1pKSTj9bwLJ0eGAr9r5fRH6|DOCUMENT_TYPES;FIRST_NAME;SUBMISSION_DATE|true|Member notified that their submitted documents have been forwarded to RSO for validation (AFTER board approval)
ADM_DOCUMENT_APPROVAL_REQUEST_TO_RSO_APPROVE|Admin: RSO Document Approval Request|Action Required: Document Review for {{APPLICANT_NAME}}|1tHkW3uK7eSOhFf0lhnoIwsDm51E8i49U|APPLICANT_NAME;APPLICATION_ID;APPROVAL_DEADLINE;DOCUMENT_TYPES|true|RSO notified that applicant documents are ready for review
ADM_DOCUMENT_APPROVED_BY_RSO_TO_BOARD|Admin: RSO Document Approved (Board copy)|Document Approved by RSO: {{APPLICANT_NAME}}|1R1wyM9k0ExDdTbxURkhD-UtAgUhVieRA|APPLICANT_NAME;APPLICATION_ID;APPROVAL_DATE;DOCUMENT_TYPE;FIRST_NAME|true|Board notification that RSO has approved an applicant's document; informational only
ADM_DOCUMENT_APPROVED_BY_RSO_TO_MEMBER|Admin: RSO Document Approved (Member copy)|GEA: Your Document Has Been Approved|1PPBSyAc8RLf2gZZIrIaCVuovkSHGxEe8|APPROVAL_DATE;DOCUMENT_TYPE;FIRST_NAME|true|Member notified that RSO has approved their document
ADM_DOCUMENT_REJECTED_BY_RSO_TO_BOARD|Admin: RSO Document Rejected|RSO Document Rejection: {{APPLICANT_NAME}}|1t5FCWV9c6QuWuu7Jvtj__6rkn5KVelGQ|APPLICANT_NAME;INDIVIDUAL_ID;DOCUMENT_TYPE;APPLICATION_ID;REJECTION_REASON;ALLOW_RESUBMIT|true|Board notification when RSO rejects a document with allow_resubmit flag for serious issues
