template_id,template_name,subject,body
tpl_040,Application Received,GEA Membership Application Received,"Dear {{FIRST_NAME}},

Thank you for applying for membership with the Gaborone Employee Association! We have received your application and will review it shortly.

Your Application ID is: {{APPLICATION_ID}}

NEXT STEPS:
1. You will receive a separate email with your login credentials.
2. Log in to the Member Portal and upload required documents.
3. The GEA Board will review your application and documents.
4. You will receive notification of the board decision within 5-7 business days.
5. Upon approval, you will receive payment instructions.
6. Your membership activates upon receipt of payment.

If you have any questions, please contact us at board@geabotswana.org.

Welcome to the GEA community!

Gaborone Employee Association
www.geabotswana.org
board@geabotswana.org"
tpl_041,Account Credentials,Your GEA Member Portal Login,"Dear {{FIRST_NAME}},

Your account has been created in the GEA Member Portal. Use the credentials below to log in and continue your membership application.

PORTAL LOGIN:
Email: {{EMAIL}}
Temporary Password: {{TEMP_PASSWORD}}
Portal URL: {{LOGIN_URL}}

WHAT TO DO NEXT:
1. Log in to the portal using the credentials above.
2. You will be required to change your password on first login (minimum 12 characters).
3. Upload required documents:
   - Passport or National ID
   - Proof of residency or employment verification
   - Passport-style photo
4. Confirm document submission in the portal.
5. The board will review your application and documents.

PASSWORD REQUIREMENTS:
- Minimum 12 characters
- Should include letters, numbers, and special characters
- Never share your password

NEED HELP?
If you encounter any issues logging in or uploading documents, please contact board@geabotswana.org.

Best regards,
Gaborone Employee Association
www.geabotswana.org
board@geabotswana.org"
tpl_042,New Application (Board),New Membership Application: {{APPLICANT_NAME}},"A new membership application has been submitted and requires board attention.

APPLICANT INFORMATION:
Name: {{APPLICANT_NAME}}
Membership Category: {{MEMBERSHIP_CATEGORY}}
Household Type: {{HOUSEHOLD_TYPE}}
Application ID: {{APPLICATION_ID}}
Submitted: {{SUBMITTED_DATE}}

NEXT STEP:
The applicant has been sent login credentials and instructions to upload required documents. Once documents are submitted and confirmed in the portal, the board can begin the initial review.

Log in to the Admin Portal to track application status.

GEA System"
tpl_043,Documents Confirmed,Documents Ready for Review - {{APPLICANT_NAME}},"The applicant has confirmed that all required documents have been uploaded to the Member Portal and are ready for board review.

APPLICANT: {{APPLICANT_NAME}}
APPLICATION ID: {{APPLICATION_ID}}
MEMBERSHIP CATEGORY: {{MEMBERSHIP_CATEGORY}}

NEXT STEP:
Review the application and documents in the Admin Portal. You can:
- Approve for RSO (security) review
- Request additional information
- Deny the application

Log in to the Admin Portal to proceed with initial review.

GEA System"
tpl_044,Docs Sent to RSO,Your Application Documents Are Under Security Review,"Dear {{APPLICANT_NAME}},

Your GEA membership application has passed the initial board review. Your documents have now been forwarded to our security team (RSO - Regional Security Officer) for final verification.

APPLICATION ID: {{APPLICATION_ID}}

WHAT HAPPENS NEXT:
The RSO will review your submitted documents for completeness and authenticity. This review typically takes 3-5 business days. You do not need to take any action during this time.

Once the security review is complete, the board will make a final approval decision, and you will receive notification with next steps.

If you have any questions, please contact board@geabotswana.org.

Best regards,
Gaborone Employee Association
www.geabotswana.org
board@geabotswana.org"
tpl_045,Board Initial Denied,Your GEA Membership Application,"Dear {{APPLICANT_NAME}},

Thank you for your interest in joining the Gaborone Employee Association. We have reviewed your application and supporting documents.

Unfortunately, we are unable to move forward with your application at this time.

REASON:
{{REASON}}

We encourage you to reapply once you have addressed the items above. If you believe this decision was made in error, or if your circumstances have changed, please feel free to contact us at {{CONTACT}} to discuss your application further.

We appreciate your interest in GEA and wish you all the best.

Gaborone Employee Association
www.geabotswana.org
board@geabotswana.org"
tpl_046,RSO Document Issue,Additional Information Needed - {{APPLICANT_NAME}},"Dear {{APPLICANT_NAME}},

Our security team has reviewed your submitted documents and has identified issues that must be resolved before we can proceed with your membership application.

ISSUES IDENTIFIED:
{{REASON}}

ACTION REQUIRED:
You must resubmit corrected or additional documents. Log in to the Member Portal and:
1. Review the identified issues above
2. Prepare corrected documents
3. Upload the revised documents
4. Confirm resubmission

Please address all issues noted above. Documents must be resubmitted within 10 business days, or your application may be closed.

WHAT HAPPENS NEXT:
{{NEXT_STEP}}

If you have questions about document requirements or format, please contact board@geabotswana.org.

Best regards,
Gaborone Employee Association
www.geabotswana.org
board@geabotswana.org"
tpl_047,Ready for Final Approval,Application Ready for Final Board Approval - {{APPLICANT_NAME}},"Security review has been completed successfully. The following application is ready for final board approval:

APPLICANT: {{APPLICANT_NAME}}
APPLICATION ID: {{APPLICATION_ID}}

NEXT STEP:
Log in to the Admin Portal to review and make the final approval decision. If approved, the applicant will receive payment instructions and payment terms.

GEA System"
tpl_048,Application Approved,Congratulations! Your GEA Membership Application Has Been Approved,"Dear {{APPLICANT_NAME}},

Congratulations! Your GEA membership application has been approved by our board. We are excited to welcome you to the Gaborone Employee Association!

PAYMENT INSTRUCTIONS:
Your membership dues are now due. Your unique payment reference is: {{PAYMENT_REFERENCE}}

Amount Due: {{DUES_AMOUNT}}

Please arrange payment using one of the following methods:

{{IF_SDFCU}}
Option 1: USD via SDFCU Bank Transfer
{{SDFCU}}
{{END_IF}}

{{IF_PAYPAL}}
Option 2: PayPal
{{PAYPAL}}
{{END_IF}}

{{IF_ZELLE}}
Option 3: Zelle
{{ZELLE}}
{{END_IF}}

{{IF_BANK}}
Option 4: Bank Transfer (BWP)
{{BANK_ACCOUNT}}
{{END_IF}}

IMPORTANT: Please include your payment reference {{PAYMENT_REFERENCE}} with your payment submission.

WHAT HAPPENS NEXT:
1. Submit payment using one of the methods above.
2. Log in to the Member Portal and submit payment confirmation (receipt/screenshot).
3. Our Treasurer will verify receipt of payment (typically 2 business days).
4. Upon verification, your membership is activated.

QUESTIONS?
If you have questions about payment methods or need assistance, please contact board@geabotswana.org.

Welcome to GEA!

Gaborone Employee Association
www.geabotswana.org
board@geabotswana.org"
tpl_049,Board Final Denied,Your GEA Membership Application - Final Decision,"Dear {{APPLICANT_NAME}},

Thank you for your patience as we reviewed your GEA membership application. We have completed our review process.

APPLICATION OUTCOME: NOT APPROVED

REASON:
{{REASON}}

We appreciate the time and effort you invested in your application. If you believe this decision was made in error or have questions, please feel free to contact us at {{CONTACT}}.

We wish you all the best.

Gaborone Employee Association
www.geabotswana.org
board@geabotswana.org"
tpl_050,Payment Proof Received,Payment Received - Awaiting Verification,"Application {{APPLICATION_ID}} from {{APPLICANT_NAME}} has submitted payment proof for verification.

PAYMENT DETAILS:
Payment Reference: {{PAYMENT_REFERENCE}}
Amount: {{DUES_AMOUNT}}

ACTION REQUIRED:
Please verify the payment in the treasurer's system and confirm once processed.

GEA System"
